EarthPod Sensor Log
Created: Mon Jul  6 01:06:24 2020

Measurement Time,Time Step (s),Temperature (C),Humidity (%),Light (lux),Pressure (kPa),Interrupt Counter (counts/time step),Wind (m/s),Airflow (m/s),Airflow Error
Mon Jul  6 01:35:27 2020,6.215,31.487,38.345,47.04,96.238871093,2,0.017055510860820595,0.408,0
Mon Jul  6 01:35:34 2020,6.214,31.746,37.974,51.6,96.240933593,45,0.3838107499195365,0.3,0
Mon Jul  6 01:35:41 2020,6.215,32.046,37.582,22.16,96.240371093,88,0.7504424778761062,0.713,0
Mon Jul  6 01:35:48 2020,6.216,32.673,36.595,22.86,96.236703125,116,0.9890604890604889,1.309,0
Mon Jul  6 01:35:55 2020,6.215,33.239,35.095,16.74,96.234050781,118,1.0062751407884152,1.074,0
Mon Jul  6 01:36:02 2020,6.217,33.745,34.489,16.98,96.234410156,93,0.7928261219237575,1.04,0
Mon Jul  6 01:36:09 2020,6.215,34.136,34.954,16.46,96.233476562,93,0.7930812550281576,1.068,0
Mon Jul  6 01:36:16 2020,6.217,34.435,34.138,12.36,96.239628906,134,1.1423516165353065,1.426,0
Mon Jul  6 01:36:23 2020,6.215,34.715,33.129,16.98,96.234421875,162,1.3814963797264683,1.117,0
Mon Jul  6 01:36:30 2020,6.219,34.919,32.792,15.34,96.230070312,139,1.1845955941469688,0.944,0
Mon Jul  6 01:36:37 2020,6.216,35.097,32.955,13.86,96.234121093,154,1.3130630630630629,1.044,0
Mon Jul  6 01:36:45 2020,6.218,35.266,32.701,61.8,96.229023437,141,1.2018333869411386,0.875,0
Mon Jul  6 01:36:52 2020,6.216,35.294,33.245,55.16,96.230289062,0,0.0,0.08,0
